journal,achievement_level,papers_count,openalex_count,crossref_count,merged_count,candidates_count,chinese_candidates_count,missing_author_count,missing_affiliation_count,source_errors
NATURE,A+(TOP),10,5,5,0,13,1,1,2,0
SCIENCE,A+(TOP),10,5,5,0,15,10,0,3,4
ACADEMY OF MANAGEMENT JOURNAL,A+,65,50,50,35,73,10,0,0,0
ACADEMY OF MANAGEMENT REVIEW,A+,64,50,50,36,70,7,0,0,0
ADMINISTRATIVE SCIENCE QUARTERLY,A+,67,50,50,33,70,2,3,41,0
AUTOMATICA,A+,10,5,5,0,11,3,0,5,0
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A+,10,5,5,0,9,6,1,0,0
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,A+,58,50,50,42,79,21,1,2,0
JOURNAL OF MARKETING,A+,5,5,5,5,5,1,0,5,0
JOURNAL OF MARKETING RESEARCH,A+,6,5,5,4,6,1,0,6,0
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,A+,10,5,5,0,12,6,0,0,0
MANAGEMENT SCIENCE,A+,73,50,50,27,72,28,2,0,0
MATHEMATICS OF OPERATIONS RESEARCH,A+,81,48,50,17,81,26,1,0,0
MIS QUARTERLY,A+,69,49,50,30,75,26,0,3,0
OPERATIONS RESEARCH,A+,69,49,50,30,67,23,2,0,0
STRATEGIC MANAGEMENT JOURNAL,A+,47,41,46,40,61,11,1,0,0
ANNALS OF OPERATIONS RESEARCH,A2,7,5,5,3,10,2,0,0,0
DECISION SUPPORT SYSTEMS,A1,7,5,5,3,7,5,1,4,0
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,10,5,5,0,11,3,2,2,0
IISE TRANSACTIONS,A1,56,50,50,44,102,45,0,2,0
INFORMATION SYSTEMS RESEARCH,A1,64,50,50,36,64,27,3,0,0
INFORMS JOURNAL ON COMPUTING,A1,9,5,5,1,9,3,0,4,0
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,A2,8,5,5,2,11,7,0,4,0
JOURNAL OF OPERATIONS MANAGEMENT,A1,57,40,45,28,76,18,3,0,0
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,A1,10,5,5,0,11,3,0,2,0
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,A2,50,50,50,50,81,30,1,0,0
M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,A1,50,0,50,0,46,15,4,0,0
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,A2,50,0,50,0,71,40,1,13,0
ORGANIZATION SCIENCE,A1,62,49,50,37,69,5,2,0,0
PRODUCTION AND OPERATIONS MANAGEMENT,A1,6,5,5,4,6,3,0,5,0
RELIABILITY ENGINEERING & SYSTEM SAFETY,A2,5,5,0,0,7,4,0,3,0
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,A2,57,49,49,41,82,37,1,23,0
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,A1,48,46,46,44,73,46,1,24,0
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,A2,63,49,50,36,91,55,1,27,0
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,A2,53,50,50,47,78,46,1,29,0
TRANSPORTATION SCIENCE,A1,59,45,48,34,58,14,4,0,0
