rank,school_name_en,school_name_zh,homepage_url,difficulty_level,crawl_status,notes
1,Princeton University,普林斯顿大学,http://www.princeton.edu/main/academics/departments/,3,已经爬取,
2,Harvard University,哈佛大学,http://www.harvard.edu/faculty,3,已经爬取,
3,Yale University,耶鲁大学,https://www.yale.edu/academics/graduate-professional-study,3,已经爬取,
4,Columbia University,哥伦比亚大学,http://www.tc.columbia.edu/faculty-and-research/faculty-profiles/,3,已经爬取,
5,Stanford University,斯坦福大学,https://ed.stanford.edu/faculty/profiles,1,已经爬取,
6,University of Chicago,芝加哥大学,http://newfaculty.uchicago.edu/,3,已经爬取,
7,Massachusetts Institute of Technology,麻省理工学院,http://web.mit.edu/,2,已经爬取,
8,Duke University,杜克大学,https://www.duke.edu/,3,已经爬取,
9,University of Pennsylvania,宾夕法尼亚大学,http://www.upenn.edu/,3,已经爬取,
10,California Institute of Technology,加利福尼亚理工学院,http://www.caltech.edu/content/faculty,2,已经爬取,
11,Johns Hopkins University,约翰霍普金斯大学,https://www.jhu.edu/,3,已经爬取,
12,Dartmouth College,达特茅斯学院,http://dartmouth.edu/education/graduate-schools,2,已经爬取,
13,Northwestern University,西北大学,http://www.northwestern.edu/about/our-people/index.html#Faculty,1,已经爬取,
14,Brown University,布朗大学,https://www.brown.edu/academics,1,已经爬取,
15,Cornell University,康奈尔大学,http://www.cornell.edu/academics/colleges.cfm,3,已经爬取,
16,Vanderbilt University,范德堡大学,http://www.vanderbilt.edu/,3,已经爬取,
17,Washington University in St. Louis,圣路易斯华盛顿大学,https://wustl.edu/,3,已经爬取,
18,Rice University,莱斯大学,http://www.rice.edu/academics.shtml,3,已经爬取,有问题
19,University of Notre Dame,圣母大学,https://www.nd.edu/,2,已经爬取,
20,University of California Berkeley,加州大学伯克利分校,http://www.berkeley.edu/,1,已经爬取,
21,Emory University,埃默里大学,http://www.emory.edu/home/academics/index.html,2,已经爬取,
22,Georgetown University,乔治城大学,"http://explore.georgetown.edu/faculty/index.cfm?Action=List&Letter=A, https://global.georgetown.edu/search?utf8=%E2%9C%93&q=.#!t-people",1,已经爬取,
23,Carnegie Mellon University,卡内基梅隆大学,http://www.cmu.edu/academics/index.html,3,已经爬取,
24,University of California Los Angeles,加州大学洛杉矶分校,http://www.ucla.edu/,3,,
25,University of Southern California,南加州大学,http://www.usc.edu/,3,已经爬取,
26,University of Virginia,弗吉尼亚大学,,3,已经爬取,
27,Tufts University,塔夫斯大学,https://www.tufts.edu/,3,已经爬取,（截至2017年9月10日数据导入cache_part1）
28,Wake Forest University,维克森林大学,http://about.wfu.edu/academics/schools/,2,已经爬取,
29,University of Michigan Ann Arbor,密歇根大学安娜堡分校,https://www.umich.edu/academics/,3,已经爬取,
30,Boston College,波士顿学院,http://www.bc.edu,2,已经爬取,
31,University of North Carolina Chapel Hill,北卡罗来纳大学教堂山分校,http://www.unc.edu/a-z/,3,已经爬取,
32,New York University,纽约大学,https://www.nyu.edu/academics/schools-and-colleges.html,3,已经爬取,
33,University of Rochester,罗彻斯特大学,http://www.rochester.edu/academics/,3,已经爬取,
34,Brandeis University,布兰迪斯大学,http://www.brandeis.edu,,已经爬取,
35,College of William and Mary,威廉玛丽学院,http://www.wm.edu,,已经爬取,
36,Georgia Institute of Technology,佐治亚理工学院,http://www.gatech.edu,,已经爬取,
37,Case Western Reserve University,凯斯西储大学,http://www.case.edu,,已经爬取,
38,University of California Santa Barbara,加州大学圣塔芭芭拉分校,https://www.ucsb.edu,,已经爬取,
39,University of California Irvine,加州大学欧文分校,https://www.uci.edu,,已经爬取,
40,University of California San Diego,加州大学圣地亚哥分校,https://www.ucsd.edu,,已经爬取,学校有问题
41,Boston University,波士顿大学,https://www.bu.edu/,3,已经爬取,
42,Rensselaer Polytechnic Institute,伦斯勒理工学院,http://www.rpi.edu/,1,已经爬取,
43,Tulane University,杜兰大学,http://tulane.edu/,2,已经爬取,
44,University of California Davis,加州大学戴维斯分校,https://www.ucdavis.edu/,3,已经爬取,
45,University of Illinois Urbana-Champaign,伊利诺伊大学香槟分校,,,,
46,University of Wisconsin Madison,威斯康星大学-麦迪逊分校,,,,
47,Lehigh University,利哈伊大学,https://www1.lehigh.edu/home,1,已经爬取,
48,Northeastern University,东北大学,https://news.northeastern.edu/faculty-experts/page/2/,1,已经爬取,
49,Pennsylvania State University University Park,宾州州立大学,http://www.psu.edu/academics,3,已经爬取,
50,University of Florida,佛罗里达大学,http://www.ufl.edu/academics/colleges/,3,已经爬取,
